SNo,Advertisement No.,Title,Publish Date,Download Link
01,AIIMS/DEO/Cafeteria/2024-25/03,"Tender For Cafeteria Services at Academic Block All India Institute of Medical Sciences, Deoghar",07-09-2024 02:54 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/cafeteria_tendernotice_on_cpp_09092024_022816576.pdf
02,GEM/2024/B/5362604,"ANNUAL MAINTENANCE SERVICES FOR WATER PURIFICATION AND CONDITIONING SYSTEM (Version 2) - RO with cooler with UV; 10 and above; PACKAGE-5 : Water purifier and conditioning system maintenance involving basic servicing, filters, membranes, All electrica..",05-09-2024 05:39 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding6863746_1_05092024_050947389.pdf
03,04/EE/ AIIMS/Deo /2024-25,Development of Partition work at Academic block 2nd and 3rd floor at AIIMS Deoghar Work Description NIT for Development of Partition work at Academic block 2nd and 3rd floor at AIIMS Deogh,21-08-2024 04:39 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/nit_28082024_010118529.pdf
04,AIIMS/Deoghar/Engg./2024-25/01,Notice Inviting Quotation,20-08-2024 01:06 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/niq_hebal_garden_20082024_123809102.pdf
05,GEM/2024/B/5286940,Door Curtains (Q3),14-08-2024 06:39 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding6779507_14082024_061058169.pdf
06,GEM/2024/B/5285578,Custom Bid for Services - Fire safety Audit,13-08-2024 06:23 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding6778044_1_13082024_055706076.pdf
07,03/EE/ AIIMS/Deo /2024-25,Establishment of NELS Skill Centre part-3 at AIIMS Deoghar,12-08-2024 05:52 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/tender_publish_1_12082024_052323832.pdf
08,02/EE/ AIIMS/Deo /2024-25/RT,"Supply, Installation, Testing and Commissioning of 15 nos. High Mast Lights at AIIMS Deoghar",29-07-2024 05:42 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/finalnit_30072024_121643241.pdf
09,GEM/2024/B/5087422,Fire Extinguisher Refilling,25-06-2024 05:17 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/gembidding6560239_25062024_044845363.pdf
10,02/EE/ AIIMS/Deo /2024-25,"Supply, Installation, Testing and Commissioning of 15 nos. High Mast Lights at AIIMS Deoghar",25-06-2024 05:10 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/tender_publish_25062024_044322472.pdf
